full,abb
RANCHES,RNCH
RAPID,RPD
RAPIDS,RPDS
RDGE,RDG
REST,RST
RIDGE,RDG
RIDGES,RDGS
RIVER,RIV
RIVR,RIV
RNCHS,RNCH
ROAD,RD
ROADS,RDS
ROADWAY,RDWY
ROOM,RM
ROUTE,RTE
RVR,RIV
RVR,RIV
S/B,SB
SHOAL,SHL
SHOALS,SHLS
SHOAR,SHR
SHOARS,SHRS
SHORE,SHR
SHORES,SHRS
SKYWAY,SKWY
SOUTH,S
SOUTHEAST,SE
SOUTHWEST,SW
SPACE,SPC
SPNG,SPG
SPNGS,SPGS
SPRING,SPG
SPRINGS,SPGS
SPRNG,SPG
SPRNGS,SPGS
SPURS,SPUR
SQR,SQ
SQRE,SQ
SQRS,SQS
SQU,SQ
SQUARE,SQ
SQUARES,SQS
STATION,STA
STATN,STA
STN,STA
STR,ST
STRAV,STRA
STRAVEN,STRA
STRAVENUE,STRA
STRAVN,STRA
STREAM,STRM
STREET,ST
STREETS,STS
STREME,STRM
STRT,ST
STRVN,STRA
STRVNUE,STRA
SUITE,STE
SUMIT,SMT
SUMITT,SMT
SUMMIT,SMT
TERR,TER
TERRACE,TER
THROUGHWAY,TRWY
THRWY,TRWY
THWY,TRWY
THWY,TRWY
TNPK,TPKE
TRACE,TRCE
TRACES,TRCE
TRACK,TRAK
TRACKS,TRAK
TRAFFICWAY,TRFY
TRAIL,TRL
TRAILER,TRLR
TRAILER,TRLR
TRAILS,TRL
TRK,TRAK
TRKS,TRAK
TRLRS,TRLR
TRLS,TRL
TRNPK,TPKE
TUNEL,TUNL
TUNLS,TUNL
TUNNEL,TUNL
TUNNELS,TUNL
TUNNL,TUNL
TURNPIKE,TPKE
TURNPK,TPKE
UNDERPASS,UPAS
UNION,UN
UNIONS,UNS
UPPER,UPPR
VALLEY,VLY
VALLEYS,VLYS
VALLY,VLY
VDCT,VIA
VIADCT,VIA
VIADUCT,VIA
VIEW,VW
VIEWS,VWS
VILL,VLG
VILLAG,VLG
VILLAGE,VLG
VILLAGES,VLGS
VILLE,VL
VILLG,VLG
VILLIAGE,VLG
VIST,VIS
VISTA,VIS
VLLY,VLY
VST,VIS
VSTA,VIS
WALKS,WALK
WELL,WL
WELLS,WLS
WEST,W
WY,WAY
